Disease,Target,Explanation/Rationale,Class,Score,Repurposing lever,Evidence
Acne,IGF1,Sebum Production: IGF1 drives sebocyte proliferation and lipid production. A novel angle compared to antibiotics.,Growth Factor,,,
ALS,EPHA4,"Axon Guidance: Modulating EPHA4 rescues motor neuron degeneration in zebrafish models. It prevents the ""die-back"" of the nerve terminal.",Receptor,,,
Alzheimer's,CD33,"Microglial Brake: CD33 inhibits microglial phagocytosis of amyloid. Blocking CD33 ""releases the brakes,"" allowing microglia to clear plaques.",Receptor,,,
Anaplastic Large Cell Lymphoma,POLA2,Replication Stress: High confidence prediction for orphan lymphoma. DNA Polymerase Alpha is critical for rapid tumor replication.,Enzyme,0.983,,
Anaplastic Large Cell Lymphoma,PRIM1,Replication Stress: DNA Primase. Works in complex with POLA2; reinforces the replication stress hypothesis for this cancer.,Enzyme,0.983,,
Ankylosing spondylitis,IMPDH1/2,Validates pipeline; consider model-based patient stratification for sGC-first vs. PDE5-first algorithms. (JCI),IMPDH inhibitor,0.898/0.858,,
Appendix Lymphoma,FKBP1A,mTOR Signaling: FKBP12 (FKBP1A) is the target of Rapamycin. Suggests mTOR pathway dependency in this rare tumor.,Enzyme,0.983,,
Asthma,IL4R,Th2 Pathway: The receptor for IL-4 and IL-13. Dupilumab targets this. The model accurately maps the inflammatory cascade.,Receptor,,,
Behçet’s syndrome (eye-predominant),IMPDH1,"Mixed clinical history in IBD, but rapid-onset anti-cytokine effects justify narrow, symptom-control pilots. (Mechanistic). (PubMed)",IMPDH inhibitor,0.924,,
Beta-Thalassemia,P4HB,Protein Folding: Thalassemia is a protein aggregation disease (unpaired globin chains). P4HB (PDI) manages ER stress; enhancing it could reduce hemolysis.; Chaperone Activity: P4HB (PDI) helps fold proteins in the ER. Thalassemia involves accumulation of unfolded globin chains; enhancing P4HB could reduce proteotoxic stress.,Chaperone,0.02978,,
Beta-Thalassemia,STAT3,"Ineffective Erythropoiesis: STAT3 mediates EPO signaling. In Thalassemia, erythropoiesis is active but futile. Tuning STAT3 could improve red blood cell maturation.; Erythropoiesis: STAT3 signaling is critical for erythropoietin (EPO) response. Modulating STAT3 could enhance ineffective erythropoiesis seen in thalassemia.",Transcription,0.02972,,
Blood Coagulation,CSNK2A1,Platelet Signaling: Casein Kinase 2 (CK2) phosphorylates key platelet receptors. It is an under-explored antithrombotic target that might carry less bleeding risk than thrombin inhibitors.; Platelet Signaling: Casein Kinase 2 (CK2) phosphorylates proteins involved in platelet aggregation. Inhibiting CK2 could act as a novel anticoagulant mechanism.,Kinase,0.0348,,
Blood Coagulation,TP53,Megakaryocyte Control: p53 regulates the ploidy and differentiation of megakaryocytes (platelet parents). Relevant for conditions like Essential Thrombocythemia.; Cell Stress: p53 regulates megakaryocyte differentiation and platelet production. Modulating p53 pathways could treat thrombocytopenia or thrombocytosis.,Transcription,0.03516,,
Breast Cancer,ESR1,Hormone Drive: Estrogen Receptor. The prediction confirms the model understands hormonal dependency in specific tissue types.,Receptor,,,
Cardiac sarcoidosis,PDE4C,MMF shows utility as maintenance/adjunct in Behçet uveitis; fits ocular-inflammation phenotype. (PubMed),PDE4 inhibitor,0.955,,
CDKL5 disorder,SCN1A,Growing preclinical dermal-fibrosis data for PDE4 blockade; anti-fibrotic + anti-inflammatory dual action; oral agents exist. (PubMed),Na_v modulator,0.97,,
CDKL5 disorder (epileptic encephalopathy),SCN8A,Complements the above; feasible off-the-shelf screen of selective Na_v agents in CDKL5 models. (PubMed),Na_v modulator,0.973,,
