
diseaseName,targetSymbol,score,association,known_drugs,rationale,orig_disease,orig_gene,mapped_gene
"Anaplastic Large Cell Lymphoma, ALK-Negative",POLA2,0.983,Novel,No (none specific),"DNA Polymerase alpha 2 (POLA2) is a replication enzyme. This model prediction suggests ALCL tumors rely on POLA2 for rapid proliferation (“replication stress” vulnerability). This is a novel target in an orphan lymphoma with limited targeted therapies (especially ALK-negative ALCL). No POLA2-specific drug exists; however, this insight points to cell-cycle inhibitors or DNA synthesis blockers as potential strategies. The rationale is biologically sound (targeting tumor DNA replication), but clinical feasibility is uncertain without a known inhibitor, so it receives a moderate score.",Anaplastic Large Cell Lymphoma (ALCL),POLA2,
"Anaplastic Large Cell Lymphoma, ALK-Negative",PRIM1,0.983,Novel,No (none specific),"DNA Primase 1 (PRIM1) works in complex with POLA2 in DNA replication. Its identification alongside POLA2 reinforces the “replication stress” hypothesis for ALCL. Targeting PRIM1 is novel (no existing drug), but it could synergize with POLA2 inhibition to induce lethal replication stress in tumor cells. This is highly innovative and addresses an unmet need in an orphan cancer, but without current drug tools it remains speculative. We score it moderate, similar to POLA2, due to strong rationale but developmental uncertainty.",Anaplastic Large Cell Lymphoma (ALCL),PRIM1,
ankylosing spondylitis,IMPDH1,0.898,Novel (for AS),Yes (mycophenolate available),"Inosine Monophosphate Dehydrogenase (IMPDH) types 1/2 are enzymes critical for lymphocyte DNA synthesis. They are targeted by mycophenolate mofetil (MMF), an immunosuppressant used in other autoimmune diseases. Although IMPDH inhibitors are not standard in AS, the model suggests a potential benefit in severe or refractory cases. Mycophenolate has been used off-label in related conditions (e.g. uveitis, systemic autoimmune diseases). Repurposing MMF for AS could address unmet needs (especially in patients who cannot tolerate biologics), but clinical evidence is lacking. Feasibility is moderate (drug available, but need trials to confirm efficacy in AS).",Ankylosing Spondylitis (AS),IMPDH1,
ankylosing spondylitis,IMPDH2,0.858,Novel (for AS),Yes (mycophenolate available),"Inosine Monophosphate Dehydrogenase (IMPDH) types 1/2 are enzymes critical for lymphocyte DNA synthesis. They are targeted by mycophenolate mofetil (MMF), an immunosuppressant used in other autoimmune diseases. Although IMPDH inhibitors are not standard in AS, the model suggests a potential benefit in severe or refractory cases. Mycophenolate has been used off-label in related conditions (e.g. uveitis, systemic autoimmune diseases). Repurposing MMF for AS could address unmet needs (especially in patients who cannot tolerate biologics), but clinical evidence is lacking. Feasibility is moderate (drug available, but need trials to confirm efficacy in AS).",Ankylosing Spondylitis (AS),IMPDH2,
appendix lymphoma,FKBP1A,0.983,Novel,Yes (rapamycin analogs),"FKBP1A (FKBP12) is the intracellular receptor for rapamycin, implicating the mTOR pathway. This suggests mTOR signaling drives this rare appendix lymphoma. While not previously targeted in this specific lymphoma, mTOR inhibitors (rapalogs like sirolimus/everolimus) exist and are used in some cancers and graft-versus-host disease. Repurposing a rapalog could be feasible and relatively rapid. Given the orphan nature of the disease and the availability of drugs, a pilot trial would be low-risk. We assign a moderate score – the pathway logic is sound and drugs exist, but efficacy in this lymphoma is unproven.",Appendix Lymphoma,FKBP1A,
cardiac edema,PDE4C,0.957,Novel,Yes (PDE4 inhibitors exist),"Phosphodiesterase-4C (PDE4C) – PDE4 enzymes regulate inflammatory cell activity via cAMP. PDE4 inhibition (e.g. with apremilast) has broad anti-inflammatory effects and is approved in diseases like psoriasis and Behçet’s. Cardiac sarcoidosis is a granulomatous heart inflammation with significant morbidity; current treatment relies on steroids. The model suggests PDE4C as a target, pointing to the potential repurposing of PDE4 inhibitors to dampen inflammation in sarcoidosis. There is some rationale by analogy (apremilast is effective in other inflammatory conditions), and oral agents exist making trials feasible. No direct evidence in cardiac sarcoid yet, so we assign a moderate score. It’s an interesting repurposing idea that could fulfill an unmet need (steroid-sparing therapy in sarcoid).",Cardiac Sarcoidosis,PDE4C,
CDKL5 disorder,SCN8A,0.973,Novel (complementary),Yes (antiepileptic drugs),"SCN8A encodes Nav1.6, another neuronal sodium channel. Its identification alongside SCN1A suggests a complementary approach: targeting multiple Na+ channel subtypes might better control refractory seizures in CDKL5 encephalopathy. Some newer anticonvulsants more selectively target Nav1.6 (for example, riluzole and others have Nav1.6 activity). There are no trials specifically in CDKL5 patients, but this is a feasible repurposing avenue. This prediction essentially broadens the strategy to “screen existing sodium channel modulators for efficacy” in CDKL5 models, which is practical. As with SCN1A, we give a 2 – conceptually sound and testable with available drugs, addressing a critical unmet need (intractable seizures), but requiring clinical validation.",CDKL5 Deficiency Disorder,SCN8A,
CDKL5 disorder,SCN1A,0.97,,,Same class rationale; selective agents exist to test; low N but high signal-to-noise endpoints. (PubMed),CDKL5 deficiency disorder,SCN1A,
Fuchs endothelial corneal dystrophy,PTGFR,0.767,,,Hypothesis-level: test PG analogs alongside established ROCK drops to potentiate endothelial recovery; clean optical endpoints make trials efficient. (PubMed),Fuchs endothelial corneal dystrophy (pre-surgical rescue),PTGFR,
Fuchs endothelial corneal dystrophy,PTGIR,0.724,,,Hypothesis-level: test PG analogs alongside established ROCK drops to potentiate endothelial recovery; clean optical endpoints make trials efficient. (PubMed),Fuchs endothelial corneal dystrophy (pre-surgical rescue),PTGIR,
limited cutaneous systemic sclerosis,PDE4C,0.924,,,PDE4 can down-tune macrophage/Th1 cytokines; merits N-of-1 explorations with imaging endpoints. (Mechanistic extension from dermal fibrosis). (PubMed),Limited cutaneous systemic sclerosis,PDE4C,
limited cutaneous systemic sclerosis,PDE4C,0.924,Novel,Yes (apremilast off-label),"Phosphodiesterase-4C (PDE4C) – Systemic sclerosis (scleroderma) has no approved disease-modifying treatments for fibrosis. The rationale for PDE4C is that PDE4 inhibitors have shown anti-fibrotic and anti-inflammatory effects in skin fibrosis models. In fact, preclinical studies demonstrated that apremilast (a PDE4 inhibitor) can attenuate dermal fibrosis and inflammation in scleroderma models, reducing collagen production and fibrotic markers. Clinically, apremilast is approved for other inflammatory conditions and has a tolerable safety profile. A small pilot study or off-label use in localized scleroderma lesions could be attempted relatively easily. Given the dire unmet need in scleroderma and the availability of an oral PDE4 inhibitor, this candidate has high translational potential. it represents a feasible, mechanism-based repurposing that could address fibrosis and inflammation in a multi-system orphan disease with few options.",Limited Cutaneous Systemic Sclerosis (lcSSc),PDE4C,
neointimal hyperplasia,FKBP1A,0.975,,,Orthogonal to approved ganaxolone; precision channel modulation has genetic/functional rationale across DEEs. (PubMed),Neointimal hyperplasia (restenosis phenotype),FKBP1A,
psoriasis-related juvenile idiopathic arthritis,JAK1,0.866,,,Cytokine Signaling: Validated target (JAK inhibitors). The model correctly identifies the IL-23/IL-17 axis dependency on JAK signaling.,Psoriasis,JAK1,
Pulmonary arterial hypertension associated with portal hypertension,GUCY1B1,0.791,,,Hypothesis-generating: PG signaling may modulate endothelial resilience; test alongside proven ROCK drops around DSO/cataract. (PubMed),"Pulmonary arterial hypertension, associated types",GUCY1B1,
Pulmonary arterial hypertension associated with another disease,GUCY1B2,0.96,,,Hypothesis-generating: PG signaling may modulate endothelial resilience; test alongside proven ROCK drops around DSO/cataract. (PubMed),"Pulmonary arterial hypertension, associated types",GUCY1B2,
small bowel Crohn's disease,IMPDH1,0.949,,,Same class rationale as IMPDH2; redundancy across isoforms strengthens hit. (OUP Academic),Small-bowel Crohn’s,IMPDH1,
small bowel Crohn's disease,IMPDH2,0.912,,,Mitochondrial dysfunction is implicated in IBD epithelium; offers a distinct epithelial-centric lever paired with anti-inflammatory therapy. (SpringerLink),Small-bowel Crohn’s,IMPDH2,
small bowel Crohn's disease,PDE4C,0.949,,,Signals of mTOR benefit exist in some immune colitides; consider strictures/fistula sub-phenotypes with surgical endpoints.,Small-bowel Crohn’s,PDE4C,
temporal arteritis,IMPDH1,0.852,,,Cell-mediated enthesitis biology; a “rescue/swap” option in biologic-intolerant patients worth small pilot.,Temporal arteritis,IMPDH1,
temporal arteritis,IMPDH2,0.777,,,Cell-mediated enthesitis biology; a “rescue/swap” option in biologic-intolerant patients worth small pilot.,Temporal arteritis,IMPDH2,
temporal arteritis,DHODH,0.829,,,Lymphocyte-directed control; clinical practicality where AZA/MTX unsuitable. (Trans-disease repurposing logic).,Temporal arteritis (GCA),DHODH,
ulcerative colitis,IL1R1,0.712,,,"Strong mechanistic case (STAT3/trans-signaling) but mixed human data → propose biomarker-enriched rescue cohort, not broad use. (PubMed)",Ulcerative colitis,IL1R1,
ulcerative colitis,IL6R,0.727,,,T-cell–driven vasculitis; DHODH is steroid-sparing in other autoimmune settings — rationale for flare-control add-on. (Mechanistic extension from IBD DHODH). (PubMed),Ulcerative colitis,IL6R,
